frames,dates,mjd,telem_status,expstarts,expstops,airmasses,frieds,tau0,theta0,dimms,dimmtimes,masses,masstimes,masswts0,masswts500,masswts1000,masswts2000,masswts4000,masswts8000,masswts16000,windspds,winddirs,temps,skystrehls,maosstrehls-psd+ncpa-unseen,maos_stds_strehls-psd+ncpa-unseen,skyfwhms,skyempfwhms,maosfwhms-psd+ncpa-unseen,maosempfwhms-psd+ncpa-unseen,maos_stds_fwhms-psd+ncpa-unseen,maos_stds_emp_fwhms-psd+ncpa-unseen,lbwfsfwhms,skyrmswfes,maosrmswfes-psd+ncpa-unseen,maos_stds_rmswfes-psd+ncpa-unseen,lgsrmswfes,totmaoswfe-psd+ncpa-unseen,homaoswfe-psd+ncpa-unseen,ttmaoswfe-psd+ncpa-unseen,DM_fitting_errors
c1083,20150514,57156.56999,False,13:40:47.664,13:41:30.138,1.58331,0.13788661020353843,0.006919069360390993,0.4403451919889036,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.658888888888889,102.0,-4.2343,0.07950430363416672,0.1683183922752699,0.014819383555568876,87.27911709278168,88.42219087637368,63.1877542396547,63.8564420928423,4.044595077596207,2.8311053092906246,1.112883,538.0268112283911,451.6125570884855,11.336409073432366,247.3,539.1781212244362,396.4000854620916,364.6143985545585,1423.9093417586237
c1084,20150514,57156.57057,False,13:41:38.450,13:42:20.926,1.58527,0.13788661020353843,0.007121719543010125,0.4394744190397571,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.144444444444445,102.0,-4.2319,0.090316541492939,0.16576622210873296,0.013456085512519905,81.70822403095232,82.52058661292955,64.41309865645997,63.8564420928423,3.6999347675574668,2.8311053092906246,1.027382,524.3042267034684,453.4868689789105,10.381889725170758,202.4,541.1182067894781,394.20762960294155,370.0120373254408,1423.9093417586237
c1085,20150514,57156.57116,False,13:42:29.311,13:43:11.785,1.58729,0.13788661020353843,0.007121719543010125,0.438579913969391,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.144444444444445,102.0,-4.2392,0.08307357877492905,0.16539980724195494,0.012969341299561038,80.96100392928163,84.03485212131316,64.34178247492113,63.8564420928423,3.619693455169269,2.8311053092906246,1.029711,533.340476725133,453.7437502133914,9.994601293026179,152.4,541.8627113382265,394.69665678761953,370.64120611961806,1423.9093417586237
c1086,20150514,57156.57175,False,13:43:20.089,13:44:02.564,1.58932,0.13788661020353843,0.007615109468471318,0.4058801367999651,0.73,13:39:28,1.33,13:47:37,0.38344061206887375,3.454562798582534e-10,6.863369798508345e-10,0.10981391677613352,0.2665275271754074,0.1555697154328558,0.08464822751493625,4.630000000000001,102.0,-4.2479,0.03485335409641266,0.15892178941076388,0.0156562035750564,119.0945475116783,122.5007950524539,64.106099286805,63.8564420928423,3.397498887667477,2.8311053092906246,1.060989,619.4796592183991,458.8980338718211,12.165134946976977,177.4,547.6919000413436,407.7720517375135,365.07387013377604,1423.9093417586237
c1087,20150514,57156.57235,False,13:44:15.186,13:44:57.661,1.59149,0.11438321073702619,0.006062484285531587,0.4050218631238117,0.88,13:48:8,1.33,13:47:37,0.3260273548309818,3.776247467540371e-10,7.502478412331863e-10,0.12003965459730978,0.2913462450122207,0.17005617734618886,0.0925305670854263,5.144444444444445,102.0,-4.2508,0.046652644872665405,0.09239116054254215,0.009040058401517101,106.39614674523669,113.96829181667859,73.86978521502621,73.9233672442551,3.8216068207367653,5.043994052059779,1.112217,591.9621214418826,522.1210518770963,10.83621278532278,168.4,653.7679463452384,492.83892422823277,428.51184900431247,1663.8551526257565
c1088,20150514,57156.57298,False,13:45:05.962,13:45:48.436,1.5937,0.11438321073702619,0.0059033805481156255,0.40412360033805483,0.88,13:48:8,1.33,13:47:37,0.3260273548309818,3.776247467540371e-10,7.502478412331863e-10,0.12003965459730978,0.2913462450122207,0.17005617734618886,0.0925305670854263,5.658888888888889,102.0,-4.2567,0.04049110785126686,0.09524060547058673,0.007413849020868828,107.59307312635156,118.31148787859723,71.97502211477348,71.04994842958908,3.6900666650016287,7.679861371714505,1.115367,605.4861288573154,518.6253823953532,8.58824855613707,142.0,653.9999961539272,500.0104412923583,419.9183877719877,1663.8551526257565
c1089,20150514,57156.57356,False,13:45:56.898,13:46:39.373,1.59595,0.11438321073702619,0.005745990554430987,0.4032124004099573,0.88,13:48:8,1.33,13:47:37,0.3260273548309818,3.776247467540371e-10,7.502478412331863e-10,0.12003965459730978,0.2913462450122207,0.17005617734618886,0.0925305670854263,6.173333333333334,102.0,-4.2556,0.05571030080318451,0.08978154361994828,0.005302809978767345,94.82710774783699,101.68861981789061,72.99898154529627,70.50217823179808,1.4089821581143922,2.9734527143366636,1.182988,574.5722464083918,524.9736670660103,6.298889732146288,185.1,670.7367760751978,525.7509319927735,414.4253791974861,1663.8551526257565
c1090,20150514,57156.57415,False,13:46:47.580,13:47:30.055,1.59812,0.11438321073702619,0.0059033805481156255,0.40233675710733174,0.88,13:48:8,1.33,13:47:37,0.3260273548309818,3.776247467540371e-10,7.502478412331863e-10,0.12003965459730978,0.2913462450122207,0.17005617734618886,0.0925305670854263,5.658888888888889,102.0,-4.2535,0.052960947155952454,0.09463385254959075,0.00809417079555385,89.0228635770124,104.1392995592222,72.0649719217646,71.04994842958908,4.156996282821068,7.679861371714505,1.083799,579.5855900487035,519.3862054281062,9.468629935632908,180.8,655.4379166440655,501.12654807480726,420.8450145557754,1663.8551526257565
c1091,20150514,57156.57474,False,13:47:38.441,13:48:20.915,1.60033,0.11438321073702619,0.0059033805481156255,0.40144814458976935,0.88,13:48:8,1.33,13:47:37,0.3260273548309818,3.776247467540371e-10,7.502478412331863e-10,0.12003965459730978,0.2913462450122207,0.17005617734618886,0.0925305670854263,5.658888888888889,103.0,-4.2716,0.05043637752532959,0.09411011578898226,0.007139752237304888,106.6609152137504,112.85637945416572,72.02862078666114,69.33397719187185,4.088695018535272,6.672426632508752,1.081724,584.3830086397197,519.9255683113707,8.33174027144369,94.4,656.1045441787052,501.8188616512525,420.97993100080953,1663.8551526257565
c1092,20150514,57156.57533,False,13:48:29.133,13:49:11.607,1.60254,0.11438321073702619,0.005883554611022981,0.3900091638124597,0.88,13:48:8,1.42,13:49:9,0.34970641651967005,9.505952700594435e-10,5.7251760583125585e-11,0.16365361751591556,0.2516917021861936,0.15123106569127512,0.08371719707909872,5.658888888888889,103.0,-4.2676,0.04719383269548416,0.09908124219735781,0.007308346560167735,116.04694202096599,117.77734750788444,70.40656511682525,69.33397719187185,4.160807013270252,6.672426632508752,1.090114,590.847313568146,514.2280341976453,8.309071779895737,191.1,645.4428435762502,499.5818995332316,407.2118169150128,1663.8551526257565
